P,I,D
 -7.3810, -9.5671,  0.5894
 -7.2644, -9.7012,  0.3261
 -5.8909, -9.8096,  3.8316
 -5.2039, -9.9048,  1.9035
 -3.7306, -9.9733,  4.0960
 -2.6834,-10.0227,  2.9251
 -1.8678,-10.0569,  2.2624
 -0.8992,-10.0735,  2.6982
  0.0000,-10.0735,  2.5094
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0000,-10.0735,  0.0000
  0.0080,-10.0733,  0.0223
  0.0000,-10.0733, -0.0223
  0.4438,-10.0650,  1.2509
  1.0851,-10.0454,  1.7625
  1.3069,-10.0215,  0.6132
  2.5975, -9.9735,  3.6175
  2.9281, -9.9199,  0.9169
  3.5889, -9.8535,  1.8515
  4.5897, -9.7694,  2.7776
  5.0102, -9.6776,  1.1671
  5.6176, -9.5745,  1.6892
  5.9827, -9.4644,  1.0181
  6.2526, -9.3498,  0.7498
  6.6726, -9.2260,  1.1801
  6.5423, -9.1070, -0.3592
  6.3857, -8.9889, -0.4391
  6.5924, -8.8677,  0.5759
  6.9682, -8.7395,  1.0473
  7.5342, -8.6018,  1.5672
  8.0920, -8.4531,  1.5535
  9.1059, -8.2857,  2.8235
 10.0683, -8.1007,  2.6802
 11.1263, -7.8966,  2.9404
 11.8805, -7.6773,  2.1089
 13.9669, -7.4217,  5.7849
 17.3496, -7.1026,  9.4269
 20.4549, -6.7270,  8.6391
 22.9799, -6.3041,  7.0413
 26.2866, -5.8218,  9.1935
 28.4862, -5.2975,  6.1340
 29.1627, -4.7622,  1.8814
 27.7597, -4.2517, -3.9086
 25.7574, -3.7791, -5.5668
 23.3470, -3.3500, -6.7128
 20.4177, -2.9759, -8.1331
 17.5919, -2.6516, -7.8908
 15.1954, -2.3725, -6.6694
 12.9025, -2.1347, -6.4029
 11.3982, -1.9261, -4.1708
 10.0296, -1.7414, -3.8191
  8.8736, -1.5783, -3.2206
  8.0124, -1.4311, -2.3966
  6.6574, -1.3087, -3.7736
  5.2814, -1.2117, -3.8321
  3.7502, -1.1428, -4.2571
  2.0215, -1.1056, -4.8224
  0.0000, -1.1056, -5.6049
  0.0000, -1.1056,  0.0000
  0.0000, -1.1056,  0.0000
  0.0000, -1.1056,  0.0000
 -0.4971, -1.1148, -1.3862
 -3.2821, -1.1747, -7.7008
 -6.1607, -1.2874, -7.9785
 -9.7866, -1.4674,-10.1083
-13.1535, -1.7092, -9.3763
-16.0212, -2.0040, -7.9945
-18.3034, -2.3394, -6.3363
-19.4746, -2.6979, -3.2670
-20.2250, -3.0690, -2.0865
-20.0871, -3.4391,  0.3851
-18.7846, -3.7859,  3.6433
-16.9786, -4.0965,  5.0057
-16.6064, -4.4010,  1.0340
-15.6178, -4.6886,  2.7578
-14.2821, -4.9507,  3.7148
-14.0723, -5.2096,  0.5849
-14.2830, -5.4733, -0.5895
-14.7965, -5.7458, -1.4329
-15.0188, -6.0189, -0.6123
-14.8609, -6.2941,  0.4430
-15.2022, -6.5730, -0.9489
-15.3792, -6.8561, -0.4937
-15.6986, -7.1441, -0.8878
-15.2454, -7.4250,  1.2651
-15.0182, -7.6975,  0.6244
-14.2599, -7.9622,  2.1327
-14.1357, -8.2206,  0.3440
-13.6537, -8.4733,  1.3514
-13.2725, -8.7156,  1.0548
-12.4732, -8.9450,  2.2269
-12.0284, -9.1655,  1.2353
-11.7203, -9.3816,  0.8607
-11.0958, -9.5860,  1.7433
-10.7322, -9.7827,  1.0099
 -9.6153, -9.9596,  3.1134
 -9.2749,-10.1296,  0.9453
 -8.7581,-10.2913,  1.4456
 -7.8897,-10.4359,  2.4118
 -7.4114,-10.5717,  1.3278
 -6.3809,-10.6891,  2.8728
 -5.6072,-10.7921,  2.1540
 -5.0301,-10.8849,  1.6126
 -3.9108,-10.9565,  3.1065
 -3.1112,-11.0137,  2.2276
 -2.1770,-11.0537,  2.5991
 -0.7854,-11.0682,  3.8794
 -0.5344,-11.0780,  0.7026
  0.0000,-11.0780,  1.4848
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.0000,-11.0780,  0.0000
  0.2299,-11.0738,  0.6399
  0.4970,-11.0647,  0.7399
  1.0315,-11.0458,  1.4866
  1.3232,-11.0216,  0.8093
  1.4571,-10.9947,  0.3744
  1.9299,-10.9592,  1.3181
  2.0275,-10.9221,  0.2700
  2.0298,-10.8846,  0.0063
  1.9068,-10.8495, -0.3434
  2.4605,-10.8043,  1.5421
  3.1976,-10.7460,  2.0369
  4.1142,-10.6703,  2.5542
  4.5162,-10.5874,  1.1176
  4.8056,-10.4991,  0.8056
  5.3869,-10.3995,  1.6288
  5.8580,-10.2923,  1.3058
  6.2247,-10.1779,  1.0214
  6.7226,-10.0545,  1.3854
  6.8500, -9.9289,  0.3537
  7.5905, -9.7881,  2.0805
  7.7106, -9.6476,  0.3317
  8.5842, -9.4887,  2.4494
  8.8757, -9.3267,  0.8061
  8.8361, -9.1635, -0.1106
  9.3204, -8.9925,  1.3462
 10.8105, -8.7943,  4.1387
 11.2609, -8.5873,  1.2542
 12.7618, -8.3529,  4.1783
 13.9904, -8.0961,  3.4169
 15.2484, -7.8156,  3.5060
 18.0465, -7.4841,  7.7870
