Value -13.72114  Error 0.01809 
Value -13.63370  Error 0.03014 
Value -13.58288  Error 0.03752 
Value -13.52246  Error 0.04526 
Value -13.71849  Error 0.05309 
Value -13.75746  Error 0.06099 
Value -13.80156  Error 0.06888 
Value -13.89721  Error 0.07686 
Value -13.88218  Error 0.08481 
Value -13.90074  Error 0.09277 
Value -13.95930  Error 0.10077 
Value -13.93524  Error 0.10875 
Value -13.87907  Error 0.11671 
Value -13.75295  Error 0.12458 
Value -13.66160  Error 0.13240 
Value -13.60335  Error 0.14022 
Value -13.46222  Error 0.14791 
Value -13.31103  Error 0.15556 
Value -13.19962  Error 0.16310 
Value -12.99693  Error 0.17056 
Value -12.74604  Error 0.17784 
Value -12.53886  Error 0.18501 
Value -12.36065  Error 0.19211 
Value -12.17189  Error 0.19907 
Value -11.90381  Error 0.20588 
Value -11.56711  Error 0.21252 
Value -11.28939  Error 0.21897 
Value -10.98423  Error 0.22528 
Value -10.71975  Error 0.23141 
Value -10.44161  Error 0.23742 
Value -10.18113  Error 0.24323 
Value -9.93502  Error 0.24892 
Value -9.64610  Error 0.25428 
Value -9.37708  Error 0.25952 
Value -9.03683  Error 0.26451 
Value -8.75494  Error 0.26938 
Value -8.42177  Error 0.27405 
Value -8.09227  Error 0.27856 
Value -7.72402  Error 0.28284 
Value -7.35626  Error 0.28693 
Value -7.09700  Error 0.29087 
Value -6.66458  Error 0.29458 
Value -6.30158  Error 0.29808 
Value -5.87098  Error 0.30134 
Value -5.51208  Error 0.30440 
Value -5.16816  Error 0.30728 
Value -4.72945  Error 0.30990 
Value -4.47437  Error 0.31240 
Value -4.02889  Error 0.31462 
Value -3.65258  Error 0.31666 
Value -3.31886  Error 0.31850 
Value -2.86929  Error 0.32010 
Value -2.56412  Error 0.32152 
Value -2.19500  Error 0.32274 
Value -1.87472  Error 0.32378 
Value -1.51309  Error 0.32462 
Value -1.16732  Error 0.32527 
Value -0.83240  Error 0.32573 
Value -0.46195  Error 0.32599 
Value -0.12808  Error 0.32606 
Value 0.00000  Error 0.32606 
Value 0.03606  Error 0.32604 
Value 0.31779  Error 0.32587 
Value 0.67776  Error 0.32550 
Value 0.98243  Error 0.32498 
Value 1.29906  Error 0.32427 
Value 1.67535  Error 0.32337 
Value 1.98002  Error 0.32231 
Value 2.30326  Error 0.32107 
Value 2.56409  Error 0.31968 
Value 2.72421  Error 0.31822 
Value 2.87801  Error 0.31667 
Value 3.13250  Error 0.31499 
Value 3.34998  Error 0.31318 
Value 3.61134  Error 0.31124 
Value 3.88318  Error 0.30915 
Value 4.06314  Error 0.30697 
Value 4.28768  Error 0.30466 
Value 4.52329  Error 0.30223 
Value 4.84151  Error 0.29962 
Value 5.13025  Error 0.29685 
Value 5.42242  Error 0.29394 
Value 5.73913  Error 0.29085 
Value 6.03617  Error 0.28760 
Value 6.22647  Error 0.28425 
Value 6.44861  Error 0.28078 
Value 6.67696  Error 0.27719 
Value 6.72722  Error 0.27356 
Value 6.88558  Error 0.26986 
Value 7.10563  Error 0.26603 
Value 7.40959  Error 0.26205 
Value 7.60028  Error 0.25795 
Value 7.93829  Error 0.25369 
Value 8.16200  Error 0.24929 
Value 8.42392  Error 0.24475 
Value 8.63455  Error 0.24009 
Value 8.90562  Error 0.23531 
Value 9.20263  Error 0.23034 
Value 9.42480  Error 0.22528 
Value 9.68365  Error 0.22005 
Value 10.01316  Error 0.21469 
Value 10.14912  Error 0.20904 
Value 10.34838  Error 0.20331 
Value 10.71831  Error 0.19735 
Value 10.89750  Error 0.19130 
Value 11.18167  Error 0.18507 
Value 11.40019  Error 0.17874 
Value 11.62569  Error 0.17228 
Value 11.84148  Error 0.16570 
Value 12.20264  Error 0.15893 
Value 12.39223  Error 0.15205 
Value 12.64639  Error 0.14501 
Value 12.86253  Error 0.13788 
Value 13.18582  Error 0.13054 
Value 13.47001  Error 0.12307 
Value 13.60485  Error 0.11550 
Value 13.95679  Error 0.10775 
Value 14.23185  Error 0.09982 
Value 14.41451  Error 0.09184 
Value 14.59313  Error 0.08373 
Value 14.81693  Error 0.07551 
Value 14.90254  Error 0.06722 
Value 15.09613  Error 0.05884 
Value 15.25195  Error 0.05036 
Value 15.60366  Error 0.04168 
Value 15.70921  Error 0.03296 
Value 16.03128  Error 0.02404 
Value 16.22275  Error 0.01504 
Value 16.41951  Error 0.00593 
Value 16.52809  Error -0.00326 
Value 16.72282  Error -0.01281 
Value 16.97103  Error -0.02258 
Value 17.20069  Error -0.03240 
Value 17.52001  Error -0.04248 
Value 17.84098  Error -0.05265 
Value 18.16746  Error -0.06308 
Value 18.39807  Error -0.07360 
Value 18.60772  Error -0.08427 
Value 18.85070  Error -0.09509 
Value 18.92807  Error -0.10593 
Value 19.00714  Error -0.11680 
Value 19.10963  Error -0.12776 
Value 19.06166  Error -0.13866 
Value 19.09479  Error -0.14962 
Value 19.11949  Error -0.16056 
Value 19.13515  Error -0.17155 
Value 19.22447  Error -0.18254 
Value 19.12585  Error -0.19350 
Value 19.10675  Error -0.20443 
Value 19.12717  Error -0.21541 
Value 19.00123  Error -0.22628 
Value 18.92344  Error -0.23714 
Value 18.94226  Error -0.24798 
Value 18.84652  Error -0.25878 
Value 18.75782  Error -0.26952 
Value 18.66755  Error -0.28023 
Value 18.61905  Error -0.29088 
Value 18.47261  Error -0.30148 
Value 18.26113  Error -0.31193 
Value 18.19204  Error -0.32236 
Value 18.00122  Error -0.33266 
Value 17.89234  Error -0.34294 
Value 17.81424  Error -0.35312 
Value 17.61174  Error -0.36323 
Value 17.58618  Error -0.37328 
Value 17.41210  Error -0.38327 
Value 17.25406  Error -0.39316 
Value 17.23832  Error -0.40304 
Value 16.98516  Error -0.41274 
Value 16.84798  Error -0.42242 
Value 16.71818  Error -0.43198 
Value 16.49123  Error -0.44144 
Value 16.38952  Error -0.45082 
Value 16.20681  Error -0.46013 
Value 16.10697  Error -0.46933 
Value 15.91593  Error -0.47848 
Value 15.80762  Error -0.48751 
Value 15.68122  Error -0.49650 
Value 15.42707  Error -0.50532 
Value 15.43603  Error -0.51418 
Value 15.26742  Error -0.52294 
Value 15.13209  Error -0.53160 
Value 15.08906  Error -0.54024 
Value 14.92016  Error -0.54880 
Value 14.80056  Error -0.55726 
Value 14.61641  Error -0.56564 
Value 14.40428  Error -0.57388 
Value 14.32551  Error -0.58212 
Value 14.02820  Error -0.59013 
Value 13.86355  Error -0.59808 
Value 13.80265  Error -0.60598 
Value 13.51826  Error -0.61374 
Value 13.41070  Error -0.62141 
Value 13.21327  Error -0.62899 
Value 13.07342  Error -0.63647 
Value 12.96167  Error -0.64391 
Value 12.77973  Error -0.65121 
Value 12.83736  Error -0.65858 
Value 12.58540  Error -0.66578 
Value 12.49686  Error -0.67295 
Value 12.48822  Error -0.68010 
Value 12.29680  Error -0.68715 
Value 12.20865  Error -0.69414 
Value 12.05288  Error -0.70105 
Value 11.87315  Error -0.70784 
Value 11.74335  Error -0.71458 
Value 11.52732  Error -0.72118 
Value 11.46615  Error -0.72776 
Value 11.42058  Error -0.73429 
Value 11.33694  Error -0.74079 
Value 11.29141  Error -0.74725 
Value 11.24382  Error -0.75370 
Value 11.05424  Error -0.76002 
Value 10.93883  Error -0.76630 
Value 10.79331  Error -0.77248 
Value 10.74523  Error -0.77866 
Value 10.60791  Error -0.78471 
Value 10.58341  Error -0.79078 
Value 10.67208  Error -0.79689 
Value 10.44663  Error -0.80288 
Value 10.34972  Error -0.80880 
Value 10.36514  Error -0.81475 
Value 10.20945  Error -0.82060 
Value 10.16942  Error -0.82643 
Value 10.14073  Error -0.83223 
Value 9.97776  Error -0.83795 
Value 9.89759  Error -0.84345 
Value 9.78293  Error -0.84889 
Value 9.63393  Error -0.85423 
Value 9.57166  Error -0.85957 
Value 9.52170  Error -0.86484 
Value 9.47665  Error -0.87011 
Value 9.43303  Error -0.87534 
Value 9.40434  Error -0.88058 
Value 9.30235  Error -0.88574 
Value 9.21668  Error -0.89086 
Value 9.27842  Error -0.89603 
Value 9.21846  Error -0.90114 
Value 9.12705  Error -0.90621 
Value 9.17500  Error -0.91131 
Value 9.11657  Error -0.91638 
Value 8.97564  Error -0.92136 
Value 8.92182  Error -0.92631 
Value 8.84869  Error -0.93123 
Value 8.78605  Error -0.93610 
Value 8.81495  Error -0.94101 
Value 8.70216  Error -0.94584 
Value 8.69139  Error -0.95068 
Value 8.73350  Error -0.95552 
Value 8.60358  Error -0.96031 
Value 8.54685  Error -0.96505 
Value 8.56466  Error -0.96981 
Value 8.45289  Error -0.97450 
Value 8.49777  Error -0.97923 
Value 8.45199  Error -0.98392 
Value 8.43906  Error -0.98861 
Value 8.51926  Error -0.99334 
Value 8.45400  Error -0.99804 
Value 8.35201  Error -1.00268 
Value 8.41521  Error -1.00735 
Value 8.34023  Error -1.01198 
Value 8.34088  Error -1.01662 
Value 8.41052  Error -1.02129 
Value 8.33938  Error -1.02593 
Value 8.42585  Error -1.03060 
Value 8.39440  Error -1.03528 
Value 8.34542  Error -1.03990 
Value 8.30727  Error -1.04452 
Value 8.33783  Error -1.04915 
Value 8.26718  Error -1.05374 
Value 8.34657  Error -1.05838 
Value 8.27651  Error -1.06298 
Value 8.23167  Error -1.06756 
Value 8.29492  Error -1.07216 
Value 8.22335  Error -1.07672 
Value 8.19588  Error -1.08128 
Value 8.20757  Error -1.08585 
Value 8.24610  Error -1.09042 
Value 8.16978  Error -1.09496 
Value 8.23808  Error -1.09953 
Value 8.18744  Error -1.10407 
Value 8.14968  Error -1.10860 
Value 8.16439  Error -1.11313 
Value 8.03880  Error -1.11761 
Value 7.90738  Error -1.12199 
Value 7.92630  Error -1.12641 
