P,I,D
  6.4347,-13.5040,  1.6863
  7.7327,-13.4491,  2.3028
  8.3648,-13.3898,  1.1206
  8.9605,-13.3261,  1.0596
  9.3863,-13.2594,  0.7559
  8.9365,-13.1956, -0.8031
  8.9600,-13.1319,  0.0417
  9.2599,-13.0655,  0.5375
  9.3306,-12.9994,  0.1251
  9.3624,-12.9328,  0.0566
  9.4514,-12.8656,  0.1583
  9.8365,-12.7955,  0.6856
 10.6074,-12.7204,  1.3649
 11.6321,-12.6379,  1.8179
 11.5641,-12.5561, -0.1203
 11.6892,-12.4722,  0.2244
 12.1481,-12.3859,  0.8153
 13.6231,-12.2889,  2.6256
 15.5710,-12.1789,  3.4394
 16.6164,-12.0606,  1.8609
 18.3472,-11.9302,  3.0737
 20.6324,-11.7833,  4.0694
 23.5228,-11.6163,  5.1277
 27.0837,-11.4233,  6.3454
 31.7050,-11.1981,  8.2070
 36.5144,-10.9374,  8.5844
 39.2237,-10.6596,  4.7968
 41.2847,-10.3657,  3.6677
 42.5895,-10.0624,  2.3235
 39.6078, -9.7812, -5.2917
 36.2925, -9.5231, -5.8936
 32.6939, -9.2911, -6.3844
 28.3149, -9.0900, -7.7767
 25.2543, -8.9097, -5.4611
 22.4652, -8.7502, -4.9515
 17.9348, -8.6226, -8.0592
 14.9420, -8.5163, -5.3204
 10.5321, -8.4413, -7.8501
  6.4261, -8.3957, -7.2895
  3.6347, -8.3698, -4.9707
  0.0000, -8.3698, -6.4286
  0.0000, -8.3698,  0.0000
  0.0000, -8.3698,  0.0000
  0.0000, -8.3698,  0.0000
 -2.7026, -8.3890, -4.8011
 -5.6988, -8.4293, -5.2993
-10.2492, -8.5020, -8.0619
-15.0638, -8.6095, -8.5908
-18.9761, -8.7439, -6.9267
-23.3113, -8.9103, -7.7354
-26.3988, -9.0973, -5.4701
-28.2607, -9.2991, -3.3234
-29.5269, -9.5082, -2.2418
-28.8583, -9.7139,  1.1914
-28.1148, -9.9140,  1.3226
-27.1404,-10.1074,  1.7363
-26.7290,-10.2967,  0.7282
-26.6957,-10.4882,  0.0597
-26.2933,-10.6760,  0.7186
-26.4801,-10.8630, -0.3297
-26.4702,-11.0511,  0.0175
-24.9729,-11.2304,  2.6880
-25.3489,-11.4087, -0.6615
-24.9105,-11.5863,  0.7812
-24.0215,-11.7568,  1.5778
-23.9619,-11.9272,  0.1059
-22.2253,-12.0861,  3.1039
-22.0409,-12.2416,  0.3254
-21.9790,-12.3984,  0.1105
-20.3802,-12.5439,  2.8536
-19.5257,-12.6819,  1.5099
-18.3167,-12.8123,  2.1506
-16.2855,-12.9278,  3.6035
-15.0967,-13.0355,  2.1192
-12.6807,-13.1256,  4.2905
-10.9182,-13.2033,  3.1364
 -9.4546,-13.2703,  2.5921
 -5.8183,-13.3118,  6.4950
 -4.7097,-13.3452,  1.9661
 -1.6113,-13.3567,  5.5230
  0.0000,-13.3567,  2.8547
  0.0000,-13.3567,  0.0000
  0.0000,-13.3567,  0.0000
  0.0000,-13.3567,  0.0000
  0.0000,-13.3567,  0.0000
  0.0744,-13.3562,  0.1325
  3.3403,-13.3325,  5.7941
  4.0281,-13.3040,  1.2144
  4.7249,-13.2706,  1.2337
  5.8586,-13.2288,  2.0235
  6.1564,-13.1850,  0.5286
  6.4469,-13.1389,  0.5203
  5.6846,-13.0986, -1.3496
  5.4912,-13.0597, -0.3424
  6.4353,-13.0137,  1.6874
  7.5382,-12.9601,  1.9592
  9.7081,-12.8912,  3.8509
 12.0326,-12.8056,  4.1337
 13.3129,-12.7111,  2.2723
 14.2872,-12.6091,  1.7390
 15.8952,-12.4964,  2.8499
 18.4322,-12.3653,  4.5115
 20.9460,-12.2164,  4.4688
 23.5301,-12.0489,  4.5984
 27.7486,-11.8518,  7.4891
 34.6025,-11.6055, 12.1967
 37.6779,-11.3376,  5.4671
 45.0665,-11.0158, 13.1881
 49.9863,-10.6621,  8.7046
 53.4815,-10.2811,  6.2239
 53.2425, -9.9032, -0.4241
 51.1448, -9.5368, -3.7569
 50.2709, -9.1819, -1.5424
 45.2628, -8.8606, -8.8878
 39.6736, -8.5778, -9.9596
 35.7740, -8.3237, -6.9230
 31.0875, -8.1024, -8.3425
 28.0509, -7.9026, -5.4074
 24.3937, -7.7293, -6.4947
 20.4734, -7.5835, -6.9786
 19.1418, -7.4476, -2.3641
 16.1431, -7.3326, -5.3398
 14.0182, -7.2331, -3.7724
 12.0393, -7.1472, -3.5298
  8.4477, -7.0875, -6.3439
  5.7032, -7.0468, -4.8987
  1.2019, -7.0382, -7.9994
  0.0000, -7.0382, -2.1286
  0.0000, -7.0382,  0.0000
  0.0000, -7.0382,  0.0000
 -0.7967, -7.0439, -1.4201
 -3.6531, -7.0696, -5.0262
 -9.3069, -7.1355,-10.0066
-15.1660, -7.2436,-10.4369
-19.8774, -7.3845, -8.3499
-25.2788, -7.5644, -9.6119
-29.1995, -7.7723, -6.9793
-31.3416, -7.9956, -3.8145
-33.5880, -8.2333, -3.9746
-33.0765, -8.4697,  0.9139
-31.3860, -8.6934,  3.0135
-30.2815, -8.9083,  1.9587
-27.8608, -9.1060,  4.2962
-26.6524, -9.2958,  2.1511
-25.3886, -9.4762,  2.2443
-26.0740, -9.6615, -1.2175
-27.3323, -9.8554, -2.2324
-26.8051,-10.0468,  0.9410
-27.6086,-10.2442, -1.4366
-28.6561,-10.4464, -1.8477
-27.6584,-10.6431,  1.7737
-26.0638,-10.8289,  2.8416
-23.3536,-10.9948,  4.8130
-20.7404,-11.1422,  4.6424
-18.7574,-11.2754,  3.5203
-14.9553,-11.3821,  6.7864
-13.9550,-11.4812,  1.7754
-10.6359,-11.5570,  5.9143
 -6.4430,-11.6027,  7.4411
 -5.0588,-11.6388,  2.4632
 -1.8961,-11.6522,  5.6262
 -0.3399,-11.6547,  2.7580
  0.0000,-11.6547,  0.6057
  0.0000,-11.6547,  0.0000
  0.0000,-11.6547,  0.0000
  0.0000,-11.6547,  0.0000
  0.0000,-11.6547,  0.0000
  0.0000,-11.6547,  0.0000
  0.0000,-11.6547,  0.0000
  0.0000,-11.6547,  0.0000
  0.7273,-11.6495,  1.2920
  2.8834,-11.6291,  3.8109
  3.7126,-11.6028,  1.4685
  5.9581,-11.5604,  3.9959
  8.1107,-11.5027,  3.8306
 10.1495,-11.4305,  3.6231
 12.0128,-11.3452,  3.3079
 13.9776,-11.2456,  3.4988
 15.9222,-11.1326,  3.4510
 19.0669,-10.9968,  5.6018
 22.0655,-10.8396,  5.3378
 25.2814,-10.6601,  5.7092
 27.9801,-10.4615,  4.7895
 30.6546,-10.2432,  4.7608
 33.2406,-10.0070,  4.5941
 35.6844, -9.7529,  4.3503
 36.8727, -9.4911,  2.1096
 36.9790, -9.2277,  0.1893
 37.8010, -8.9577,  1.4677
 37.6838, -8.6906, -0.2077
 38.6290, -8.4149,  1.6867
 37.9708, -8.1456, -1.1674
 37.1715, -7.8820, -1.4170
 37.4085, -7.6155,  0.4220
 37.3609, -7.3482, -0.0851
 36.3063, -7.0886, -1.8850
 35.8559, -6.8366, -0.7914
 35.0802, -6.5856, -1.3873
 34.7658, -6.3403, -0.5548
 36.0961, -6.0815,  2.3841
 35.4994, -5.8310, -1.0528
 34.3088, -5.5860, -2.1251
 34.0528, -5.3447, -0.4536
 34.0270, -5.1013, -0.0462
 31.0062, -4.8797, -5.3956
 31.3280, -4.6591,  0.5665
 32.1430, -4.4290,  1.4586
 30.6008, -4.2128, -2.7248
 28.9709, -4.0070, -2.8935
 29.4617, -3.7973,  0.8737
 31.2704, -3.5739,  3.2295
 30.3712, -3.3589, -1.5913
 31.2176, -3.1371,  1.5030
 30.9058, -2.9167, -0.5560
 31.9061, -2.6893,  1.7825
 32.0891, -2.4618,  0.3243
 30.5186, -2.2439, -2.8031
 28.4952, -2.0422, -3.5813
 24.4969, -1.8682, -7.0982
 19.9338, -1.7266, -8.1035
 16.8883, -1.6067, -5.4048
 13.0421, -1.5133, -6.8885
  9.6803, -1.4450, -5.9338
  7.5436, -1.3911, -3.8164
  4.5311, -1.3590, -5.3318
