Angle, P,I,D
  5.8804,-28.8139,-10.7068,  6.1891
  5.4970,-26.9355,-11.2894,  6.1567
  4.9676,-24.3412,-11.8161,  8.5056
  4.6466,-22.7684,-12.3073,  5.1404
  4.2282,-20.7181,-12.7567,  6.7389
  3.8054,-18.6462,-13.1591,  6.7737
  3.2962,-16.1516,-13.5096,  8.2042
  2.8166,-13.8014,-13.8072,  7.6767
  2.4631,-12.0692,-14.0688,  5.6897
  1.8982, -9.3014,-14.2698,  9.0602
  1.5024, -7.3616,-14.4296,  6.3794
  1.0525, -5.1570,-14.5406,  7.1920
  0.5929, -2.9050,-14.6036,  7.3994
  0.1274, -0.6245,-14.6172,  7.5490
  0.0000,  0.0000,-14.6172,  2.0488
 -0.0843,  0.4133,-14.6084,  1.3415
 -0.4154,  2.0355,-14.5637,  5.3964
 -0.7991,  3.9158,-14.4794,  6.1318
 -1.0970,  5.3755,-14.3630,  4.7875
 -1.5463,  7.5770,-14.2014,  7.1141
 -1.8983,  9.3018,-13.9999,  5.6620
 -2.1716, 10.6409,-13.7702,  4.3807
 -2.6799, 13.1314,-13.4856,  8.1780
 -3.0060, 14.7296,-13.1671,  5.2349
 -3.4409, 16.8605,-12.8023,  6.9862
 -3.9003, 19.1112,-12.3899,  7.3587
 -4.2934, 21.0376,-11.9327,  6.3431
 -5.1151, 25.0640,-11.3917, 13.1679
 -5.8329, 28.5813,-10.7721, 11.5532
 -6.3914, 31.3181,-10.0944,  8.9729
 -6.8760, 33.6925, -9.3656,  7.7821
 -7.1639, 35.1033, -8.6103,  4.5997
 -7.3126, 35.8315, -7.8332,  2.3927
 -6.9761, 34.1827, -7.0956, -5.3906
 -6.5699, 32.1927, -6.3973, -6.5407
 -6.0538, 29.6636, -5.7572, -8.2686
 -5.5618, 27.2526, -5.1670, -7.9119
 -5.1406, 25.1888, -4.6234, -6.7474
 -4.6890, 22.9760, -4.1250, -7.2730
 -4.4846, 21.9745, -3.6507, -3.2752
 -4.1760, 20.4623, -3.2073, -4.9655
 -3.9398, 19.3050, -2.7907, -3.7839
 -3.7937, 18.5892, -2.3876, -2.3520
 -3.5099, 17.1983, -2.0165, -4.5472
 -3.3261, 16.2980, -1.6630, -2.9583
 -2.9533, 14.4712, -1.3504, -5.9797
 -2.6650, 13.0584, -1.0676, -4.6364
 -2.2910, 11.2260, -0.8254, -5.9890
 -1.8860,  9.2413, -0.6220, -6.6184
 -1.5388,  7.5401, -0.4595, -5.5566
 -1.1213,  5.4945, -0.3405, -6.7109
 -0.8317,  4.0755, -0.2523, -4.6508
 -0.4741,  2.3230, -0.2021, -5.7403
 -0.2202,  1.0788, -0.1788, -4.0675
  0.0000,  0.0000, -0.1788, -3.5470
  0.0000,  0.0000, -0.1788,  0.0000
  0.1860, -0.9114, -0.1984, -2.9687
  0.6641, -3.2543, -0.2691, -7.7026
  0.8805, -4.3147, -0.3620, -3.4604
  1.5093, -7.3954, -0.5226,-10.1348
  2.1091,-10.3346, -0.7453, -9.5976
  2.5965,-12.7230, -1.0212, -7.8475
  2.9627,-14.5170, -1.3307, -5.7959
  2.9225,-14.3204, -1.6411,  0.6457
  2.9634,-14.5209, -1.9590, -0.6651
  2.5364,-12.4282, -2.2287,  6.8801
  2.0608,-10.0978, -2.4432,  7.5001
  1.8241, -8.9379, -2.6370,  3.8112
  1.4953, -7.3270, -2.7953,  5.2749
  1.2275, -6.0146, -2.9255,  4.3026
  0.9226, -4.5205, -3.0231,  4.8879
  0.7877, -3.8598, -3.1078,  2.1967
  0.4680, -2.2934, -3.1573,  5.1194
  0.2543, -1.2462, -3.1844,  3.4504
  0.0007, -0.0033, -3.1844,  4.0534
  0.0000,  0.0000, -3.1844,  0.0109
  0.0000,  0.0000, -3.1844,  0.0000
 -0.0043,  0.0209, -3.1840,  0.0673
 -0.1844,  0.9034, -3.1643,  2.9142
 -0.4277,  2.0959, -3.1189,  3.9132
 -0.6543,  3.2063, -3.0497,  3.6292
 -0.9181,  4.4988, -2.9521,  4.2481
 -1.2174,  5.9653, -2.8231,  4.8050
 -1.4561,  7.1349, -2.6707,  3.7857
 -1.9358,  9.4854, -2.4660,  7.6872
 -2.5722, 12.6036, -2.1928, 10.2424
 -3.3470, 16.4001, -1.8379, 12.4471
 -4.1080, 20.1291, -1.4011, 12.2601
 -4.7302, 23.1779, -0.9014,  9.9582
 -5.1380, 25.1763, -0.3500,  6.6315
 -5.2355, 25.6537,  0.2035,  1.5610
 -5.1637, 25.3019,  0.7522, -1.1560
 -4.8952, 23.9865,  1.2698, -4.3006
 -4.4023, 21.5714,  1.7315, -7.8318
 -4.0219, 19.7074,  2.1566, -6.0920
 -3.8566, 18.8973,  2.5664, -2.6620
 -3.6612, 17.9401,  2.9536, -3.1303
 -3.7399, 18.3255,  3.3508,  1.2654
 -3.7277, 18.2658,  3.7450, -0.1952
 -3.8262, 18.7484,  4.1577,  1.6093
 -3.7590, 18.4191,  4.5492, -1.0605
 -3.6726, 17.9956,  4.9388, -1.3893
 -3.4206, 16.7609,  5.3017, -4.0504
 -3.2664, 16.0055,  5.6480, -2.4767
 -3.1035, 15.2070,  5.9762, -2.6105
 -2.8484, 13.9569,  6.2788, -4.1075
 -2.7812, 13.6278,  6.5729, -1.0760
 -2.5510, 12.5001,  6.8439, -3.7042
 -2.3096, 11.3168,  7.0880, -3.8673
 -2.1588, 10.5780,  7.3175, -2.4285
 -1.8691,  9.1586,  7.5149, -4.6345
 -1.7349,  8.5009,  7.6995, -2.1645
 -1.4853,  7.2781,  7.8565, -3.9978
 -1.2529,  6.1392,  7.9895, -3.7386
 -0.9460,  4.6352,  8.0896, -4.9171
 -0.6529,  3.1994,  8.1598, -4.7748
 -0.4282,  2.0981,  8.2051, -3.6016
 -0.2295,  1.1244,  8.2295, -3.1984
 -0.1352,  0.6623,  8.2437, -1.5107
  0.0000,  0.0000,  8.2437, -2.1735
  0.0000,  0.0000,  8.2437,  0.0000
  0.0000,  0.0000,  8.2437,  0.0000
  0.1789, -0.8767,  8.2247, -2.8790
  0.4392, -2.1521,  8.1778, -4.2114
  0.6882, -3.3721,  8.1048, -4.0036
  0.9409, -4.6103,  8.0054, -4.0455
  1.0312, -5.0528,  7.8955, -1.4576
  1.2198, -5.9771,  7.7685, -2.9765
  1.3613, -6.6706,  7.6238, -2.2786
  1.6637, -8.1521,  7.4479, -4.8438
  1.9033, -9.3263,  7.2457, -3.8581
  2.0625,-10.1061,  7.0276, -2.5493
  2.4511,-12.0102,  6.7672, -6.2542
  2.7801,-13.6226,  6.4733, -5.2716
  3.0470,-14.9302,  6.1496, -4.2951
  3.2245,-15.8002,  5.8082, -2.8490
  3.5739,-17.5123,  5.4289, -5.6184
  3.8278,-18.7560,  5.0240, -4.0673
  4.0507,-19.8484,  4.5932, -3.5928
  4.2168,-20.6624,  4.1479, -2.6578
  4.2117,-20.6371,  3.7004,  0.0830
  4.0968,-20.0745,  3.2596,  1.8717
  3.7507,-18.3784,  2.8680,  5.4760
  3.4151,-16.7339,  2.5070,  5.3747
  2.9839,-14.6209,  2.1900,  6.9427
  2.7446,-13.4486,  1.8997,  3.8339
  2.6447,-12.9592,  1.6186,  1.6085
  2.2541,-11.0451,  1.3805,  6.2503
  2.0900,-10.2411,  1.1584,  2.6423
  1.7731, -8.6881,  0.9710,  5.0744
  1.4815, -7.2593,  0.8116,  4.7543
  1.2140, -5.9485,  0.6832,  4.2868
  0.8305, -4.0697,  0.5950,  6.1695
  0.5329, -2.6110,  0.5387,  4.7704
  0.1629, -0.7983,  0.5213,  5.9633
  0.0000,  0.0000,  0.5213,  2.6084
  0.0000,  0.0000,  0.5213,  0.0000
 -0.2513,  1.2315,  0.5478,  4.0113
 -0.8248,  4.0418,  0.6351,  9.2021
 -1.6488,  8.0791,  0.8103, 13.2657
 -2.4796, 12.1503,  1.0721, 13.2893
 -3.3243, 16.2890,  1.4225, 13.4889
 -4.0605, 19.8963,  1.8516, 11.7862
 -4.4397, 21.7546,  2.3235,  6.1078
 -4.5839, 22.4609,  2.8066,  2.3022
 -4.2535, 20.8422,  3.2586, -5.3187
 -3.9617, 19.4125,  3.6785, -4.6858
 -3.5794, 17.5390,  4.0579, -6.1407
 -3.4546, 16.9273,  4.4232, -1.9997
 -3.3605, 16.4663,  4.7801, -1.5143
 -3.5576, 17.4325,  5.1563,  3.1588
 -3.6544, 17.9066,  5.5449,  1.5588
 -3.7506, 18.3778,  5.9413,  1.5399
 -3.9157, 19.1871,  6.3573,  2.6586
 -4.0662, 19.9242,  6.7872,  2.4095
 -4.0166, 19.6813,  7.2140, -0.7978
 -3.9167, 19.1917,  7.6343, -1.6247
 -3.9138, 19.1776,  8.0441, -0.0459
 -3.6239, 17.7569,  8.4335, -4.7200
 -3.3597, 16.4627,  8.7847, -4.1836
 -3.1655, 15.5111,  9.1191, -3.1084
 -2.8550, 13.9895,  9.4226, -5.0012
 -2.6317, 12.8952,  9.7014, -3.5843
 -2.5405, 12.4485,  9.9705, -1.4631
 -2.3767, 11.6458, 10.2220, -2.6270
 -2.3140, 11.3388, 10.4683, -1.0105
 -2.1132, 10.3547, 10.6913, -3.2104
 -1.9462,  9.5362, 10.8980, -2.6885
 -1.7579,  8.6138, 11.0844, -3.0234
 -1.4677,  7.1918, 11.2402, -4.6678
 -1.2714,  6.2298, 11.3744, -3.1402
 -0.9899,  4.8507, 11.4797, -4.5369
 -0.8214,  4.0247, 11.5675, -2.7310
 -0.6688,  3.2773, 11.6386, -2.4556
 -0.4427,  2.1692, 11.6854, -3.6251
 -0.1736,  0.8508, 11.7039, -4.3252
  0.0000,  0.0000, 11.7039, -2.7773
  0.0000,  0.0000, 11.7039,  0.0000
  0.0000,  0.0000, 11.7039,  0.0000
  0.0521, -0.2553, 11.6983, -0.8384
  0.2552, -1.2506, 11.6710, -3.2975
  0.3994, -1.9569, 11.6287, -2.3116
  0.6380, -3.1261, 11.5612, -3.8271
  0.7097, -3.4776, 11.4859, -1.1537
  0.8618, -4.2230, 11.3947, -2.4377
  0.9851, -4.8269, 11.2901, -1.9837
  1.0786, -5.2851, 11.1760, -1.4980
  1.3251, -6.4932, 11.0369, -3.9215
  1.4377, -7.0446, 10.8849, -1.8022
  1.5557, -7.6231, 10.7196, -1.9005
  1.6616, -8.1417, 10.5435, -1.6998
  1.8480, -9.0553, 10.3476, -2.9943
  1.8923, -9.2721, 10.1476, -0.7088
  1.9844, -9.7234,  9.9330, -1.5091
  2.2635,-11.0910,  9.6980, -4.3917
  2.5441,-12.4661,  9.4278, -4.5153
  2.8353,-13.8931,  9.1279, -4.6670
  3.2806,-16.0750,  8.7789, -7.1779
  3.7140,-18.1986,  8.3869, -6.9298
  4.1950,-20.5554,  7.9397, -7.7704
  4.6208,-22.6421,  7.4526, -6.8011
  5.0755,-24.8698,  6.9133, -7.3196
  5.4352,-26.6324,  6.3388, -5.7608
  5.5850,-27.3666,  5.7451, -2.4128
  5.4747,-26.8262,  5.1658,  1.7684
  5.0043,-24.5213,  4.6347,  7.5637
  4.6940,-23.0005,  4.1383,  4.9722
  4.1396,-20.2839,  3.6986,  8.9232
  3.4744,-17.0248,  3.3311, 10.6585
  3.0729,-15.0571,  3.0046,  6.4651
  2.4777,-12.1409,  2.7427,  9.5314
  2.1494,-10.5320,  2.5143,  5.2865
  1.9815, -9.7091,  2.3048,  2.6902
  1.7295, -8.4746,  2.1210,  4.0562
  1.4836, -7.2696,  1.9643,  3.9372
  1.2262, -6.0085,  1.8340,  4.1437
  0.9915, -4.8584,  1.7291,  3.7603
  0.6812, -3.3378,  1.6559,  5.0567
  0.5353, -2.6229,  1.5992,  2.3394
  0.2324, -1.1388,  1.5746,  4.8719
  0.0000,  0.0000,  1.5746,  3.7184
 -0.2322,  1.1378,  1.5991,  3.7107
 -0.6910,  3.3860,  1.6729,  7.4234
 -1.0675,  5.2308,  1.7861,  6.0521
 -1.6808,  8.2361,  1.9617,  9.7060
 -2.0803, 10.1935,  2.1828,  6.4335
 -2.1897, 10.7295,  2.4141,  1.7506
 -2.4021, 11.7703,  2.6701,  3.4305
 -2.5018, 12.2590,  2.9341,  1.5945
 -2.6271, 12.8730,  3.2132,  2.0172
 -2.8147, 13.7922,  3.5107,  3.0044
 -2.9715, 14.5601,  3.8263,  2.5216
 -3.1687, 15.5264,  4.1613,  3.1593
 -3.0538, 14.9637,  4.4856, -1.8480
 -3.1744, 15.5548,  4.8214,  1.9332
 -3.2449, 15.9002,  5.1661,  1.1346
 -3.1652, 15.5095,  5.5007, -1.2774
 -3.0971, 15.1757,  5.8298, -1.0969
 -2.9545, 14.4768,  6.1423, -2.2854
 -2.8644, 14.0356,  6.4466, -1.4492
 -2.7159, 13.3081,  6.7338, -2.3792
 -2.6560, 13.0146,  7.0160, -0.9641
 -2.4391, 11.9517,  7.2777, -3.5271
 -2.3234, 11.3848,  7.5214, -1.8386
 -2.1916, 10.7386,  7.7527, -2.1086
 -1.9904,  9.7530,  7.9643, -3.2395
 -1.8721,  9.1734,  8.1621, -1.8943
 -1.7851,  8.7472,  8.3518, -1.4002
 -1.6569,  8.1190,  8.5269, -2.0528
 -1.4982,  7.3413,  8.6862, -2.5559
 -1.3279,  6.5066,  8.8265, -2.7272
 -1.1654,  5.7105,  8.9503, -2.6168
 -1.0894,  5.3380,  9.0656, -1.2190
 -0.8868,  4.3455,  9.1598, -3.2570
 -0.6717,  3.2912,  9.2316, -3.4887
 -0.5397,  2.6446,  9.2890, -2.1259
 -0.3811,  1.8676,  9.3293, -2.5397
 -0.3445,  1.6882,  9.3659, -0.5890
 -0.1052,  0.5152,  9.3770, -3.8350
  0.0000,  0.0000,  9.3770, -1.6908
  0.0000,  0.0000,  9.3770,  0.0000
  0.0000,  0.0000,  9.3770,  0.0000
  0.0574, -0.2813,  9.3709, -0.9236
  0.2260, -1.1076,  9.3467, -2.7360
  0.3054, -1.4963,  9.3144, -1.2724
  0.5677, -2.7819,  9.2544, -4.2018
  0.7828, -3.8357,  9.1711, -3.4667
  0.9371, -4.5920,  9.0722, -2.4672
  1.0888, -5.3351,  8.9564, -2.4440
  1.1909, -5.8355,  8.8321, -1.6151
  1.4542, -7.1256,  8.6776, -4.2389
  1.5498, -7.5938,  8.5136, -1.5316
  1.7935, -8.7881,  8.3232, -3.9203
  2.0158, -9.8776,  8.1102, -3.5612
  2.2114,-10.8360,  7.8751, -3.1499
  2.5129,-12.3130,  7.6095, -4.8273
  2.8546,-13.9873,  7.3062, -5.5015
  3.1929,-15.6454,  6.9681, -5.4294
  3.5007,-17.1534,  6.5966, -4.9472
  3.8880,-19.0512,  6.1857, -6.2027
  4.2242,-20.6984,  5.7356, -5.4273
  4.5346,-22.2196,  5.2573, -4.9611
  4.6999,-23.0293,  4.7579, -2.6602
  4.7887,-23.4644,  4.2510, -1.4245
  4.7275,-23.1648,  3.7496,  0.9826
  4.3344,-21.2384,  3.2845,  6.3907
  3.9813,-19.5084,  2.8678,  5.5997
  3.5594,-17.4413,  2.4916,  6.7561
  3.0998,-15.1891,  2.1618,  7.4092
  2.7121,-13.2891,  1.8754,  6.2039
  2.4094,-11.8060,  1.6194,  4.8732
  2.0494,-10.0422,  1.4025,  5.7702
  1.7075, -8.3668,  1.2212,  5.5033
  1.3949, -6.8352,  1.0737,  5.0056
  1.1346, -5.5595,  0.9531,  4.1930
  1.0513, -5.1512,  0.8406,  1.3510
  0.7752, -3.7983,  0.7582,  4.4454
  0.5951, -2.9159,  0.6953,  2.8848
  0.3875, -1.8986,  0.6542,  3.3415
  0.0115, -0.0564,  0.6529,  6.0399
  0.0000,  0.0000,  0.6529,  0.1851
 -0.3310,  1.6221,  0.6877,  5.2736
 -0.9495,  4.6523,  0.7891, 10.0028
 -1.2761,  6.2527,  0.9243,  5.2436
 -1.8249,  8.9418,  1.1171,  8.7834
 -2.7103, 13.2803,  1.4030, 14.1532
 -3.3340, 16.3368,  1.7540,  9.9493
 -3.9625, 19.4165,  2.1748, 10.1127
 -4.5665, 22.3760,  2.6587,  9.6971
 -4.8195, 23.6155,  3.1695,  4.0623
 -5.0456, 24.7236,  3.7030,  3.6228
 -4.9180, 24.0980,  4.2266, -2.0591
 -4.7770, 23.4071,  4.7307, -2.2548
 -4.3788, 21.4563,  5.1960, -6.4098
 -4.1097, 20.1374,  5.6305, -4.3119
 -3.9401, 19.3064,  6.0492, -2.7303
 -3.6483, 17.8768,  6.4349, -4.6738
 -3.6378, 17.8253,  6.8215, -0.1692
 -3.5056, 17.1776,  7.1975, -2.1481
 -3.6222, 17.7486,  7.5768,  1.8495
 -3.8256, 18.7455,  7.9811,  3.2571
 -3.8547, 18.8881,  8.3907,  0.4684
 -3.9002, 19.1110,  8.8091,  0.7397
 -3.7269, 18.2620,  9.2051, -2.7895
 -3.6671, 17.9690,  9.5871, -0.9437
 -3.5238, 17.2665,  9.9671, -2.3426
 -3.1779, 15.5717, 10.2979, -5.4563
 -3.0370, 14.8811, 10.6215, -2.2746
 -2.5901, 12.6916, 10.8947, -7.1427
 -2.3129, 11.3334, 11.1404, -4.4614
 -2.0898, 10.2401, 11.3619, -3.5833
 -1.8538,  9.0834, 11.5584, -3.7912
 -1.5806,  7.7448, 11.7255, -4.3764
 -1.2621,  6.1845, 11.8596, -5.1235
 -1.0394,  5.0931, 11.9695, -3.5706
 -0.7044,  3.4516, 12.0444, -5.3933
 -0.5433,  2.6620, 12.1027, -2.6186
 -0.4710,  2.3080, 12.1527, -1.1621
 -0.3004,  1.4719, 12.1844, -2.7286
 -0.1502,  0.7360, 12.2003, -2.4178
  0.0000,  0.0000, 12.2003, -2.4026
  0.0000,  0.0000, 12.2003,  0.0000
  0.0000,  0.0000, 12.2003,  0.0000
  0.0000,  0.0000, 12.2003,  0.0000
  0.1065, -0.5217, 12.1890, -1.7162
  0.2989, -1.4646, 12.1572, -3.1030
  0.5655, -2.7710, 12.0972, -4.2860
  0.7619, -3.7334, 12.0165, -3.1513
  1.0241, -5.0181, 11.9077, -4.2209
  1.2071, -5.9146, 11.7816, -2.8946
  1.4390, -7.0510, 11.6288, -3.7327
  1.5919, -7.8004, 11.4607, -2.4470
  1.7640, -8.6437, 11.2729, -2.7753
  1.9471, -9.5410, 11.0671, -2.9334
  2.2149,-10.8530, 10.8319, -4.3069
  2.3898,-11.7100, 10.5788, -2.8071
  2.6824,-13.1439, 10.2947, -4.6954
  2.9986,-14.6930,  9.9773, -5.0712
  3.4815,-17.0595,  9.6072, -7.7779
  4.0561,-19.8749,  9.1782, -9.2076
  4.4201,-21.6587,  8.7088, -5.8572
  4.8944,-23.9827,  8.1912, -7.6005
  5.1885,-25.4235,  7.6399, -4.7342
  5.3726,-26.3256,  7.0718, -2.9492
  5.3989,-26.4547,  6.4974, -0.4247
  5.0097,-24.5474,  5.9606,  6.3194
  4.5716,-22.4007,  5.4822,  6.9461
  4.0663,-19.9250,  5.0521,  8.0964
  3.6339,-17.8060,  4.6661,  6.9605
  3.2908,-16.1248,  4.3181,  5.4981
  2.8341,-13.8871,  4.0169,  7.3525
  2.5718,-12.6018,  3.7451,  4.2007
  2.3765,-11.6447,  3.4927,  3.1429
  2.0346, -9.9696,  3.2774,  5.4816
  1.9128, -9.3729,  3.0745,  1.9576
  1.7061, -8.3598,  2.8940,  3.3133
  1.5947, -7.8141,  2.7246,  1.7932
  1.3290, -6.5122,  2.5840,  4.2563
  1.0886, -5.3340,  2.4683,  3.8723
  0.8847, -4.3350,  2.3748,  3.2643
  0.4752, -2.3286,  2.3237,  6.6762
  0.0000,  0.0000,  2.3237,  7.6013
  0.0000,  0.0000,  2.3237,  0.0000
 -0.3704,  1.8149,  2.3629,  5.9447
 -0.9493,  4.6514,  2.4642,  9.3576
 -1.6042,  7.8607,  2.6348, 10.5513
 -2.3549, 11.5392,  2.8813, 11.9065
 -3.1170, 15.2732,  3.2125, 12.2688
 -3.6101, 17.6897,  3.5929,  7.8732
 -3.7242, 18.2485,  3.9886,  1.8360
 -3.7748, 18.4965,  4.3877,  0.8109
 -3.4778, 17.0411,  4.7628, -4.8533
 -3.2278, 15.8160,  5.0995, -3.9515
 -2.8703, 14.0646,  5.4039, -5.7440
 -2.6365, 12.9191,  5.6829, -3.7474
 -2.4644, 12.0758,  5.9446, -2.7691
 -2.3795, 11.6596,  6.1963, -1.3609
 -2.3318, 11.4260,  6.4443, -0.7684
 -2.2764, 11.1542,  6.6883, -0.9009
 -2.2602, 11.0749,  6.9281, -0.2602
 -2.1331, 10.4524,  7.1539, -2.0377
 -2.0709, 10.1473,  7.3708, -0.9880
 -1.9830,  9.7168,  7.5835, -1.4279
 -1.8052,  8.8454,  7.7731, -2.8305
 -1.5244,  7.4693,  7.9338, -4.4832
 -1.2168,  5.9624,  8.0631, -4.9515
 -0.9473,  4.6420,  8.1632, -4.3169
 -0.6494,  3.1822,  8.2330, -4.8530
 -0.4644,  2.2755,  8.2823, -2.9718
 -0.3515,  1.7224,  8.3195, -1.8132
 -0.1351,  0.6619,  8.3338, -3.4653
  0.0000,  0.0000,  8.3338, -2.1733
  0.0000,  0.0000,  8.3338,  0.0000
  0.0000,  0.0000,  8.3338,  0.0000
  0.1435, -0.7034,  8.3186, -2.3118
  0.4517, -2.2133,  8.2704, -4.9798
  0.6747, -3.3061,  8.1988, -3.5848
  1.0133, -4.9652,  8.0915, -5.4326
  1.3085, -6.4115,  7.9544, -4.6858
  1.6018, -7.8488,  7.7847, -4.7080
  1.9029, -9.3240,  7.5825, -4.8484
  2.2972,-11.2565,  7.3402, -6.3024
  2.7557,-13.5030,  7.0473, -7.3836
  3.2170,-15.7634,  6.7072, -7.3879
  3.8833,-19.0282,  6.2945,-10.7303
  4.4498,-21.8039,  5.8229, -9.0948
  4.9950,-24.4755,  5.2935, -8.7564
  5.5231,-27.0633,  4.7095, -8.4604
  5.7100,-27.9791,  4.1020, -3.0129
  5.9193,-29.0048,  3.4775, -3.3460
  5.8904,-28.8629,  2.8512,  0.4665
  5.8251,-28.5431,  2.2263,  1.0610
  5.7528,-28.1886,  1.6243,  1.1471
  5.5069,-26.9836,  1.0419,  3.9407
  5.4440,-26.6756,  0.4636,  1.0118
  5.3679,-26.3026, -0.1111,  1.2346
  5.3771,-26.3478, -0.6832, -0.1486
  5.3531,-26.2303, -1.2484,  0.3837
  5.2355,-25.6538, -1.8060,  1.8984
  5.1615,-25.2914, -2.3444,  1.1689
  4.9280,-24.1474, -2.8674,  3.7541
  4.7352,-23.2023, -3.3679,  3.0891
  4.4649,-21.8780, -3.8431,  4.3578
  3.9751,-19.4781, -4.2627,  7.8342
  3.7311,-18.2826, -4.6591,  3.9268
  3.3652,-16.4895, -5.0155,  5.8733
  3.0394,-14.8929, -5.3377,  5.2327
  2.7098,-13.2781, -5.6243,  5.2813
  2.4243,-11.8790, -5.8825,  4.6070
  2.1863,-10.7129, -6.1130,  3.8029
  1.7908, -8.7747, -6.3033,  6.3663
  1.5765, -7.7247, -6.4700,  3.4339
  1.2924, -6.3327, -6.6073,  4.5737
  1.0456, -5.1233, -6.7180,  3.9577
  0.9730, -4.7677, -6.8213,  1.1671
